Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),38.3,38.2,38,37.9,37.8,37.7,37.6,37.6,37.6,37.5,37.6,37.5,37.4,37.4,37.5
Belgium,36.9,36.9,37,37,37.1,37.4,37.2,37.2,37.2,37.6,37.4,37.4,37.5,36.9,36.9
Bulgaria,41.7,41.4,41.2,40.9,40.8,40.7,40.8,40.9,40.8,40.8,40.7,40.5,40.5,40.4,40.2
Czechia,41.9,41.7,41.5,41.3,41.1,40.8,40.7,40.7,40.6,40.5,40.5,40.4,40.3,39.7,39.8
Denmark,35.8,35.4,35.3,35.4,35.2,35.1,35,35,34.9,34.8,34.8,34.6,34.7,35.5,35.4
Germany,35.9,36,36,35.9,35.9,35.7,35.7,35.6,35.6,35.5,35.5,35.4,35.3,35.4,35.3
Estonia,39.7,39.1,39.1,39,39.2,39.2,39.2,39,38.9,38.9,38.7,38.5,38.3,38.1,38
Ireland,36.4,35.6,35.4,35.3,35.5,35.7,36,36.2,36.4,36.7,36.9,37,36.9,36.6,36.9
Greece,42.4,42.5,42.3,42.1,42,42.1,42,42.2,42.2,42,42,41.7,41.8,41.3,41
Spain,39.3,39,38.8,38.5,38.2,38.1,38,37.9,37.8,37.7,37.8,37.6,37.5,37.5,37.8
France,38.2,38.1,38.1,38.1,38,37.6,37.4,37.4,37.5,37.4,37.4,37.6,37.6,37.1,37.4
Croatia,40.8,40.8,40.5,40.3,40.3,40,40.1,39.8,39.6,39.8,39.8,39.9,39.8,39.8,39.6
Italy,38.3,38,37.8,37.6,37.1,37,37,37.1,37.1,37.2,37.3,37.2,37,37.3,37.4
Cyprus,40.5,40.5,40.4,40.1,40.1,40,39.6,39.6,39.3,39.4,39.5,39.5,39.3,39.1,39.5
Latvia,40.3,39.6,38.9,39,38.8,39,39.2,39.2,39,39,39.1,38.9,38.8,38.8,39
Lithuania,39.2,38.7,38.5,38.2,38.2,38.3,38.2,38.5,38.7,38.7,38.9,39,39.1,39.1,39.2
Luxembourg,36.7,37.4,37.3,37.2,37.4,37.4,37.6,37.6,37.6,37.5,37.7,38,37.6,38.2,38.1
Hungary,40.2,39.9,39.8,39.5,39.5,39.6,39.8,39.9,39.8,39.9,39.8,39.7,39.5,39.5,39.6
Malta,39.3,39.2,39.3,39.2,39.1,38.8,38.5,38.9,39,39.2,39.4,40,39.9,39.5,39.2
Netherlands,32.5,32.4,32.1,32,31.9,31.6,31.8,31.7,32,32.1,32.2,32.3,32,32.9,33.2
Austria,38.8,38.3,38.1,38,37.8,37.4,37,36.9,36.8,36.8,36.8,36.8,36.6,36.1,36
Poland,41.3,41,40.9,40.8,40.9,41,41,40.9,40.9,40.7,40.6,40.6,40.3,40.4,40.4
Portugal,39.7,39.6,39.6,39.9,39.9,40.2,40.5,40.1,40,40.1,40.1,40,39.7,40,40
Romania,40.8,40.6,40.4,40.4,40.4,40.3,40.2,40,40.1,40,39.9,40,39.9,40.2,40.2
Slovenia,40.9,40.2,39.9,39.9,40,39.9,39.8,39.6,39.6,39.5,39.5,39.8,39.7,39.7,39.6
Slovakia,41,40.8,40.7,40.7,40.8,40.8,40.5,40.3,40.1,40,40.1,40.2,40,39.6,39.6
Finland,38.2,37.8,37.9,37.8,37.8,37.6,37.6,37.6,37.5,37.6,37.6,37.5,37.4,36.4,36.2
Sweden,37.1,37.1,37.1,37.1,37.2,37.2,37.2,37.2,37.3,37.3,37.4,37.5,37.2,38.8,38.9
Iceland,42,40.3,40,40.6,40.6,40.8,40.9,41,40.7,40.5,40.5,40.2,39.4,39.2,39
Norway,34.7,34.6,34.5,34.5,34.7,34.7,34.8,34.6,34.7,34.7,34.6,34.5,34.5,35.2,35.5
Switzerland,35.6,35.4,35.5,35.6,35.5,35.5,35.3,35.3,35.3,35.2,35.2,35.1,35.1,36.1,36
Serbia,:,:,43,42.9,43.6,43.1,43,43.6,43.4,43.1,43,42.8,42.7,43.2,43.3
